code_insee_com,nom_com,typologie_territoire,alti_med,latitude,longitude,RR_med,NBJRR1_med,NBJRR5_med,NBJRR10_med,Tmin_med,Tmax_med,Tens_vap_med,Force_vent_med,Insolation_med,Rayonnement_med
54377,Montigny,Rural à habitat dispersé,305,48.514,6.803,63.6,10.0,4.0,2.0,5.8,15.9,10.0,2.2,2825.5,11342.0
54378,Montigny-sur-Chiers,Rural à habitat dispersé,345,49.472,5.668,66.4,11.0,5.0,2.0,5.0,15.0,10.2,3.2,NA,NA
54379,Mont-l'Étroit,Rural à habitat dispersé,256,48.499,5.783,71.4,11.0,5.0,2.0,6.9,22.6,9.5,2.7,2990.0,12098.0
54380,Mont-le-Vignoble,Rural à habitat dispersé,270,48.619,5.85,57.0,10.0,5.0,1.0,6.9,22.6,11.7,3.5,NA,NA
54381,Montreux,Rural à habitat dispersé,332,48.536,6.888,76.7,12.0,6.0,2.0,5.1,16.0,10.0,1.5,2269.0,9524.5
54382,Mont-Saint-Martin,Centres urbains intermédiaires,285,49.546,5.78,98.1,12.0,6.0,3.0,5.8,14.8,10.2,3.2,2061.0,9651.0
54383,Mont-sur-Meurthe,Rural à habitat dispersé,216,48.549,6.442,61.55,11.0,5.0,2.0,7.1,15.1,11.65,2.75,3195.0,11925.0
54385,Morfontaine,Bourgs ruraux,285,49.444,5.818,98.1,12.0,6.0,3.0,5.8,14.8,10.2,3.2,2061.0,9651.0
54386,Moriviller,Rural à habitat dispersé,216,48.481,6.44,61.55,11.0,5.0,2.0,7.1,15.1,11.65,2.2,2735.5,10980.5
54387,Morville-sur-Seille,Rural à habitat dispersé,260,48.918,6.146,50.6,10.0,3.0,1.0,6.4,15.0,10.0,4.0,2832.0,11656.0
54388,Mouacourt,Rural à habitat dispersé,286,48.672,6.64,65.8,11.0,4.0,1.0,6.9,15.8,11.2,2.75,2825.5,11342.0
54389,Mouaville,Rural à habitat dispersé,226,49.214,5.779,45.05,9.0,3.0,1.0,5.9,15.9,10.0,2.9,2073.0,8863.0
54390,Mousson,Rural à habitat dispersé,180,48.911,6.093,61.0,9.0,4.0,2.0,6.75,17.2,9.6,2.7,2424.5,10055.5
54391,Moutiers,Petites villes,250,49.233,5.956,67.75,10.0,5.0,2.0,5.7,16.6,10.2,3.3,2061.0,9651.0
54392,Moutrot,Rural à habitat dispersé,270,48.602,5.897,57.0,10.0,5.0,1.0,6.9,22.6,9.5,3.5,NA,NA
54393,Moyen,Rural à habitat dispersé,246,48.487,6.587,61.2,10.0,4.0,2.0,4.8,14.9,10.1,2.2,2735.5,10980.5
54394,Murville,Rural à habitat dispersé,250,49.343,5.831,67.75,10.0,5.0,2.0,5.8,14.8,10.0,2.9,2061.0,9651.0
54395,Nancy,Grands centres urbains,213,48.69,6.176,54.05,10.0,4.0,2.0,5.5,15.0,9.6,2.8,2514.0,10589.0
54396,Neufmaisons,Rural à habitat dispersé,332,48.447,6.87,76.7,12.0,6.0,2.0,4.4,14.2,10.0,1.5,2269.0,9524.5
54397,Neuves-Maisons,Centres urbains intermédiaires,285,48.615,6.109,41.15,9.0,3.0,1.0,5.5,15.0,9.6,2.8,2514.0,10589.0
54398,Neuviller-lès-Badonviller,Rural à habitat dispersé,305,48.521,6.877,63.6,10.0,4.0,2.0,5.1,16.0,10.0,2.2,2825.5,11342.0
54399,Neuviller-sur-Moselle,Rural à habitat dispersé,350,48.49,6.282,60.6,10.0,4.0,2.0,7.1,15.1,11.65,2.8,2514.0,10589.0
54400,Nomeny,Bourgs ruraux,220,48.878,6.233,58.15,10.0,4.0,2.0,6.4,15.0,10.0,4.0,2832.0,11656.0
54401,Nonhigny,Rural à habitat dispersé,285,48.549,6.891,73.4,11.0,5.0,2.0,5.1,16.0,10.0,1.5,2269.0,9524.5
54402,Norroy-le-Sec,Rural à habitat dispersé,250,49.277,5.809,67.75,10.0,5.0,2.0,5.9,15.9,10.0,2.9,2073.0,8863.0
54403,Norroy-lès-Pont-à-Mousson,Bourgs ruraux,180,48.932,6.012,61.0,9.0,4.0,2.0,6.75,17.2,9.4,3.3,2424.5,10055.5
54404,Noviant-aux-Prés,Rural à habitat dispersé,227,48.846,5.885,59.7,11.0,4.0,1.0,4.4,16.2,9.4,3.3,2725.0,11344.0
54405,Ochey,Rural à habitat dispersé,285,48.594,5.949,41.15,9.0,3.0,1.0,5.8,14.15,9.5,3.5,2514.0,10589.0
54406,Ogéviller,Rural à habitat dispersé,246,48.551,6.718,61.2,10.0,4.0,2.0,5.8,15.9,10.0,2.2,2825.5,11342.0
54407,Ognéville,Rural à habitat dispersé,300,48.472,6.059,64.5,10.0,4.0,2.0,6.85,16.9,9.5,3.5,3371.0,12129.0
54408,Olley,Rural à habitat dispersé,208,49.173,5.768,56.1,11.5,4.0,1.0,5.9,15.9,10.0,2.9,2073.0,8863.0
54409,Omelmont,Rural à habitat dispersé,300,48.493,6.118,64.5,10.0,4.0,2.0,6.85,16.9,9.5,3.5,3371.0,12129.0
54410,Onville,Bourgs ruraux,370,49.022,5.968,59.95,11.0,4.0,1.0,6.75,17.2,10.2,3.3,2424.5,10055.5
54411,Ormes-et-Ville,Rural à habitat dispersé,350,48.488,6.205,60.6,10.0,4.0,2.0,7.1,15.1,11.65,2.8,2514.0,10589.0
54412,Othe,Rural à habitat dispersé,200,49.491,5.447,19.4,5.0,1.0,0.0,6.4,14.15,9.9,3.2,NA,NA
54413,Ozerailles,Rural à habitat dispersé,250,49.226,5.842,67.75,10.0,5.0,2.0,5.7,16.6,10.2,3.3,2073.0,8863.0
54414,Pagney-derrière-Barine,Ceintures urbaines,270,48.699,5.848,57.0,10.0,5.0,1.0,6.0,14.1,11.7,3.3,2725.0,11344.0
54415,Pagny-sur-Moselle,Bourgs ruraux,180,48.988,6.011,61.0,9.0,4.0,2.0,6.75,17.2,9.6,2.7,2424.5,10055.5
54416,Pannes,Rural à habitat dispersé,230,48.93,5.796,54.0,9.0,3.0,1.0,4.4,16.2,10.1,2.8,2725.0,11344.0
54417,Parey-Saint-Césaire,Rural à habitat dispersé,285,48.527,6.064,41.15,9.0,3.0,1.0,6.85,16.9,9.5,3.5,2514.0,10589.0
54418,Parroy,Rural à habitat dispersé,286,48.668,6.608,65.8,11.0,4.0,1.0,6.9,15.8,11.2,2.75,3195.0,11925.0
54419,Parux,Rural à habitat dispersé,332,48.542,6.921,76.7,12.0,6.0,2.0,5.1,16.0,10.0,1.5,2269.0,9524.5
54420,Petit-Failly,Rural à habitat dispersé,345,49.44,5.501,66.4,11.0,5.0,2.0,6.4,14.15,9.9,3.2,NA,NA
54421,Petitmont,Rural à habitat dispersé,332,48.546,6.974,76.7,12.0,6.0,2.0,4.4,14.2,10.0,1.5,2269.0,9524.5
54422,Pettonville,Rural à habitat dispersé,305,48.53,6.744,63.6,10.0,4.0,2.0,5.8,15.9,10.0,2.2,2825.5,11342.0
54423,Pexonne,Rural à habitat dispersé,332,48.468,6.884,76.7,12.0,6.0,2.0,4.4,14.2,10.0,1.5,2269.0,9524.5
54424,Phlin,Rural à habitat très dispersé,220,48.917,6.277,58.15,10.0,4.0,2.0,6.4,15.0,10.0,4.0,2832.0,11656.0
54425,Piennes,Bourgs ruraux,250,49.307,5.784,67.75,10.0,5.0,2.0,5.9,15.9,10.0,2.9,2073.0,8863.0
54426,Pierre-la-Treiche,Rural à habitat dispersé,285,48.64,5.964,41.15,9.0,3.0,1.0,5.8,14.15,9.5,3.5,2514.0,10589.0
54427,Pierre-Percée,Rural à habitat très dispersé,332,48.465,6.938,76.7,12.0,6.0,2.0,4.4,14.2,10.0,1.5,2269.0,9524.5
54428,Pierrepont,Rural à habitat dispersé,285,49.418,5.709,98.1,12.0,6.0,3.0,5.0,15.0,10.2,3.2,NA,NA
54429,Pierreville,Rural à habitat dispersé,285,48.549,6.111,41.15,9.0,3.0,1.0,6.85,16.9,9.5,3.5,2514.0,10589.0
54430,Pompey,Centres urbains intermédiaires,213,48.773,6.111,54.05,10.0,4.0,2.0,5.1,14.0,9.4,3.3,2514.0,10589.0
54431,Pont-à-Mousson,Centres urbains intermédiaires,180,48.922,6.054,61.0,9.0,4.0,2.0,6.75,17.2,9.4,3.3,2424.5,10055.5
54432,Pont-Saint-Vincent,Ceintures urbaines,285,48.609,6.075,41.15,9.0,3.0,1.0,5.8,14.15,9.5,3.5,2514.0,10589.0
54433,Port-sur-Seille,Rural à habitat dispersé,260,48.9,6.16,50.6,10.0,3.0,1.0,6.4,15.0,10.0,4.0,2832.0,11656.0
