code_insee_com,typologie_territoire,alti_med,latitude,longitude,RR_med,NBJRR1_med,NBJRR5_med,NBJRR10_med,Tmin_med,Tmax_med,Insolation_med,Rayonnement_med,Force_vent_med,Tens_vap_med
68306,Bourgs ruraux,448,47.531,7.189,75.7,11.5,5.0,3.0,6.5,16.1,2838.0,10474.0,2.7,10.0
68307,Rural à habitat dispersé,1153,47.808,6.88,167.6,13.0,8.0,6.0,4.7,12.3,2571.0,9989.0,1.9,7.8
68308,Bourgs ruraux,460,47.792,6.986,125.95,12.0,7.0,4.0,4.0,14.7,2434.0,9871.5,4.0,9.8
68309,Petites villes,263,47.662,7.467,57.05,10.0,4.0,1.0,5.7,15.6,2760.0,10865.0,2.5,9.6
68311,Rural à habitat dispersé,400,47.978,7.074,92.4,11.0,6.0,3.0,5.7,14.65,2434.0,9871.5,4.0,7.6
68312,Rural à habitat dispersé,480,47.477,7.334,77.2,11.0,5.0,3.0,5.2,15.4,2760.0,10865.0,1.9,9.8
68313,Bourgs ruraux,295,47.719,7.091,76.35,11.0,5.0,2.0,5.5,14.6,2838.0,10474.0,2.3,10.7
68315,Centres urbains intermédiaires,371,47.883,7.179,69.15,10.0,5.0,2.0,1.95,6.4,2889.0,11057.0,2.0,9.6
68316,Bourgs ruraux,400,48.028,7.204,83.55,12.0,6.5,3.0,6.4,12.95,2889.0,11057.0,1.4,9.3
68317,Petites villes,760,48.083,7.093,72.9,10.0,5.0,2.0,5.4,12.0,2369.0,9929.0,2.1,8.6
68318,Bourgs ruraux,273,47.97,7.212,67.4,10.0,4.0,2.0,1.95,6.4,2889.0,11057.0,2.0,9.6
68320,Bourgs ruraux,332,47.686,7.219,63.8,10.0,4.0,2.0,6.5,16.1,2838.0,10474.0,2.7,10.0
68321,Ceintures urbaines,371,47.827,7.253,69.15,10.0,5.0,2.0,1.95,6.4,2896.5,11362.5,2.6,9.9
68322,Ceintures urbaines,371,47.822,7.139,69.15,10.0,5.0,2.0,5.5,14.6,2838.0,10474.0,2.3,10.7
68323,Bourgs ruraux,245,47.676,7.364,58.7,9.0,4.0,2.0,5.7,15.9,2896.5,11362.5,2.6,9.9
68324,Rural à habitat dispersé,245,47.66,7.341,58.7,9.0,4.0,2.0,5.2,14.2,2896.5,11362.5,1.9,9.8
68325,Bourgs ruraux,400,47.558,7.347,65.65,10.0,5.0,2.0,5.2,14.2,2760.0,10865.0,1.9,9.8
68326,Rural à habitat dispersé,295,47.695,7.091,76.35,11.0,5.0,2.0,5.5,14.6,2838.0,10474.0,2.3,10.7
68327,Bourgs ruraux,400,47.624,7.419,65.65,10.0,5.0,2.0,5.7,15.6,2760.0,10865.0,2.5,9.6
68328,Petites villes,460,47.864,6.942,125.95,12.0,7.0,4.0,6.15,18.7,2434.0,9871.5,1.9,8.75
68329,Petites villes,760,48.055,7.061,72.9,10.0,5.0,2.0,5.4,12.0,2369.0,9929.0,2.1,8.6
68330,Rural à habitat dispersé,347,47.575,7.115,77.75,10.0,5.0,2.5,6.5,16.1,2838.0,10474.0,2.7,10.0
68331,Ceintures urbaines,193,48.043,7.422,29.75,8.5,1.5,0.0,4.9,14.5,3019.5,11070.0,2.5,10.0
68332,Bourgs ruraux,332,47.655,7.264,63.8,10.0,4.0,2.0,5.2,14.2,2896.5,11362.5,1.9,9.8
68333,Rural à habitat dispersé,332,47.62,7.3,63.8,10.0,4.0,2.0,5.2,14.2,2896.5,11362.5,1.9,9.8
68334,Petites villes,371,47.814,7.095,69.15,10.0,5.0,2.0,5.25,13.1,2838.0,10474.0,2.3,10.7
68335,Rural à habitat dispersé,220,48.233,7.294,54.7,9.0,4.0,1.0,7.2,15.5,2954.5,11067.5,1.5,9.7
68336,Rural à habitat dispersé,315,47.655,7.094,78.4,11.0,5.0,3.0,5.5,14.6,2838.0,10474.0,2.3,10.7
68337,Bourgs ruraux,295,47.671,7.096,76.35,11.0,5.0,2.0,5.5,14.6,2838.0,10474.0,2.3,10.7
68338,Ceintures urbaines,202,48.086,7.251,42.6,8.0,3.0,1.0,6.4,12.95,3019.5,11070.0,2.2,9.9
68340,Rural à habitat dispersé,347,47.546,7.153,77.75,10.0,5.0,2.5,6.5,16.1,2838.0,10474.0,2.7,10.0
68341,Petites villes,263,47.644,7.438,57.05,10.0,4.0,1.0,5.7,15.6,2760.0,10865.0,2.5,9.6
68342,Ceintures urbaines,371,47.829,7.165,69.15,10.0,5.0,2.0,5.5,14.6,2838.0,10474.0,2.3,10.7
68343,Ceintures urbaines,273,47.874,7.305,67.4,10.0,4.0,2.0,6.9,17.45,2889.0,11057.0,2.0,9.6
68344,Rural à habitat dispersé,615,47.88,6.928,123.3,11.0,7.0,5.0,6.15,18.7,2434.0,9871.5,1.9,8.75
68345,Petites villes,185,48.081,7.491,45.65,8.0,3.0,1.0,5.75,15.2,2581.0,10015.0,2.8,10.8
68347,Bourgs ruraux,480,47.509,7.304,77.2,11.0,5.0,3.0,5.6,13.4,2760.0,10865.0,1.9,9.8
68348,Petites villes,371,47.804,7.127,69.15,10.0,5.0,2.0,5.5,14.6,2838.0,10474.0,2.3,10.7
68349,Grands centres urbains,263,47.61,7.568,57.05,10.0,4.0,1.0,5.7,15.6,2760.0,10865.0,2.5,9.6
68350,Ceintures urbaines,202,48.024,7.262,42.6,8.0,3.0,1.0,6.9,15.9,2889.0,11057.0,2.0,9.6
68351,Ceintures urbaines,185,48.011,7.584,45.65,8.0,3.0,1.0,7.95,17.1,2581.0,10015.0,2.8,10.8
68352,Ceintures urbaines,185,48.024,7.544,45.65,8.0,3.0,1.0,7.95,17.1,2581.0,10015.0,2.8,10.8
68353,Rural à habitat dispersé,400,47.63,7.346,65.65,10.0,5.0,2.0,5.2,14.2,2896.5,11362.5,1.9,9.8
68354,Rural à habitat dispersé,400,48.07,7.207,83.55,12.0,6.5,3.0,6.4,12.95,2369.0,9929.0,1.4,9.3
68355,Bourgs ruraux,480,47.547,7.317,77.2,11.0,5.0,3.0,5.2,14.2,2760.0,10865.0,1.9,9.8
68356,Bourgs ruraux,332,47.641,7.27,63.8,10.0,4.0,2.0,5.2,14.2,2896.5,11362.5,1.9,9.8
68357,Petites villes,263,47.656,7.423,57.05,10.0,4.0,1.0,5.7,15.6,2760.0,10865.0,2.5,9.6
68358,Rural à habitat dispersé,400,47.997,7.154,83.55,12.0,6.5,3.0,5.5,15.3,2369.0,9929.0,1.4,9.3
68359,Ceintures urbaines,371,47.842,7.175,69.15,10.0,5.0,2.0,1.95,6.4,2838.0,10474.0,2.3,10.7
68360,Bourgs ruraux,193,48.004,7.498,29.75,8.5,1.5,0.0,5.75,15.2,2581.0,10015.0,2.8,10.8
68361,Rural à habitat dispersé,460,47.815,6.976,125.95,12.0,7.0,4.0,4.0,14.7,2434.0,9871.5,4.0,9.8
68362,Ceintures urbaines,245,47.548,7.474,53.8,10.0,4.0,1.0,5.7,15.6,2760.0,10865.0,2.5,9.6
68363,Rural à habitat dispersé,400,47.521,7.363,65.65,10.0,5.0,2.0,5.2,15.4,2760.0,10865.0,1.9,9.8
68364,Bourgs ruraux,273,47.967,7.255,67.4,10.0,4.0,2.0,6.9,15.9,2889.0,11057.0,2.0,9.6
68365,Ceintures urbaines,202,48.052,7.307,42.6,8.0,3.0,1.0,5.8,16.0,3019.5,11070.0,2.2,9.9
68366,Petites villes,185,48.111,7.439,45.65,8.0,3.0,1.0,6.7,16.6,3019.5,11070.0,2.5,10.0
68367,Bourgs ruraux,185,48.058,7.483,45.65,8.0,3.0,1.0,5.75,15.2,2581.0,10015.0,2.8,10.8
68368,Bourgs ruraux,400,48.055,7.197,83.55,12.0,6.5,3.0,6.4,12.95,2369.0,9929.0,1.4,9.3
68370,Rural à habitat dispersé,772,47.988,6.965,131.55,11.0,7.0,5.0,4.5,13.8,2434.0,9871.5,4.0,7.6
68371,Rural à habitat dispersé,400,47.58,7.325,65.65,10.0,5.0,2.0,5.2,14.2,2896.5,11362.5,1.9,9.8
68372,Petites villes,400,47.852,7.08,92.4,11.0,6.0,3.0,5.25,13.1,2434.0,9871.5,4.0,7.6
68373,Rural à habitat dispersé,480,47.459,7.264,77.2,11.0,5.0,3.0,5.6,13.4,2760.0,10865.0,1.9,9.8
68374,Ceintures urbaines,202,48.064,7.272,42.6,8.0,3.0,1.0,6.4,12.95,3019.5,11070.0,2.2,9.9
68375,Ceintures urbaines,245,47.799,7.24,58.7,9.0,4.0,2.0,5.7,15.9,2896.5,11362.5,2.6,9.9
68376,Grands centres urbains,245,47.81,7.312,58.7,9.0,4.0,2.0,5.7,15.9,2896.5,11362.5,2.6,9.9
68377,Rural à habitat dispersé,332,47.616,7.273,63.8,10.0,4.0,2.0,5.2,14.2,2896.5,11362.5,1.9,9.8
68378,Rural à habitat dispersé,315,47.643,7.106,78.4,11.0,5.0,3.0,5.5,14.6,2838.0,10474.0,2.3,10.7
68379,Bourgs ruraux,185,48.028,7.497,45.65,8.0,3.0,1.0,5.75,15.2,2581.0,10015.0,2.8,10.8
68380,Rural à habitat dispersé,400,47.456,7.407,65.65,10.0,5.0,2.0,5.2,15.4,2760.0,10865.0,2.5,9.6
68381,Ceintures urbaines,371,47.869,7.186,69.15,10.0,5.0,2.0,1.95,6.4,2838.0,10474.0,2.3,10.7
68382,Rural à habitat dispersé,400,47.62,7.373,65.65,10.0,5.0,2.0,5.2,14.2,2760.0,10865.0,1.9,9.8
68383,Petites villes,220,48.174,7.34,54.7,9.0,4.0,1.0,7.2,15.5,2954.5,11067.5,1.5,9.7
